h3_res10,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,spatial_hotspot_label
8a60145b3a67fff,1,2121,5,False,TESTED,2.3285400522605575,0.039,0.2695211323214249,NOT_SIGNIFICANT
8a60145b3a6ffff,1,2121,6,False,TESTED,4.426234551012218,0.009,0.11989139755387113,NOT_SIGNIFICANT
8a60145b3a77fff,1,2121,4,False,TESTED,2.474051697345566,0.027,0.22874245197652912,NOT_SIGNIFICANT
8a60145b3a87fff,1,2121,5,False,TESTED,0.476240039091596,0.247,0.44684912772557966,NOT_SIGNIFICANT
8a60145b3a8ffff,1,2121,3,False,TESTED,0.8862883310016241,0.083,0.3461076355520794,NOT_SIGNIFICANT
8a60145b3a97fff,1,2121,3,False,TESTED,-0.23951743711355286,0.328,0.4721847089208925,NOT_HOT
8a60145b3aa7fff,1,2121,4,False,TESTED,0.7066202030821797,0.124,0.38086175694711893,NOT_SIGNIFICANT
8a60145b3aaffff,1,2121,4,False,TESTED,0.6776627280545573,0.385,0.4853906842593073,NOT_SIGNIFICANT
8a60145b3ab7fff,1,2121,3,False,TESTED,-0.11595171808247283,0.444,0.4905745981781584,NOT_HOT
8a60145b3ac7fff,1,2121,5,False,TESTED,-0.19596784544624882,0.404,0.4873234322649205,NOT_HOT
8a60145b3acffff,1,2121,5,False,TESTED,-0.6822948438147339,0.166,0.4116971446405426,NOT_HOT
8a60145b3ad7fff,1,2121,3,False,TESTED,-0.5133943144080526,0.249,0.44684912772557966,NOT_HOT
8a60145b3adffff,1,2121,5,False,TESTED,-1.0039832926438101,0.212,0.4269001317578693,NOT_HOT
8a60145b3ae7fff,1,2121,3,False,TESTED,1.1134457497739993,0.088,0.3524088830697753,NOT_SIGNIFICANT
8a60145b3aeffff,1,2121,6,False,TESTED,0.8227437310029677,0.137,0.3908216897831407,NOT_SIGNIFICANT
8a60145b3b07fff,1,2121,4,False,TESTED,-0.6417848801014654,0.218,0.43320417452453963,NOT_HOT
